%year	month	day	Tmax	Tmin	Tsr	RR	SS	Nsr	Hs	Psr	D07	F07	D14	F14	D21	F21	Usr	Esr				
1961	2	13	5.0	2.0	3.9	2.5	0.0	9.0	0	1008.2	26	4.3	26	2.4	18	2.4	89	7.0
1961	2	14	8.0	2.1	4.1	0.0	5.1	6.0	0	1012.8	22	2.4	30	2.4	30	2.4	82	6.8
1961	2	15	7.9	-1.7	2.1	0.0	6.7	0.0	0	1019.1	0	0.0	26	0.8	10	0.8	83	5.8
1961	2	16	8.4	-1.8	4.1	0.0	5.6	3.0	0	1018.5	0	0.0	30	2.4	0	0.0	76	6.0
1961	2	17	7.4	2.2	5.8	0.0	0.0	10.0	0	1022.0	20	2.4	26	2.4	18	0.8	85	7.7
1961	2	18	9.6	2.9	4.6	0.0	2.1	5.3	0	1020.6	22	0.8	26	2.4	0	0.0	81	7.0
1961	2	19	12.3	0.2	5.6	0.0	8.9	0.0	0	1017.1	4	0.8	10	2.4	6	0.8	81	7.4
1961	2	20	5.2	-0.4	4.2	0.3	0.0	10.0	0	1018.5	22	2.4	16	2.4	10	2.4	90	7.3
1961	2	21	10.5	0.0	5.6	0.1	7.6	1.7	0	1019.2	10	2.4	8	4.3	8	2.4	79	7.0
1961	2	22	9.8	1.5	5.5	0.0	5.0	7.0	0	1017.5	0	0.0	30	2.4	32	4.3	80	7.2
1961	2	23	8.4	1.5	5.6	0.0	0.1	10.0	0	1015.9	2	2.4	12	0.8	0	0.0	76	6.8
1961	2	24	6.5	1.8	3.8	0.0	0.0	9.3	0	1015.8	2	2.4	30	2.4	30	2.4	77	6.1
1961	2	25	4.2	1.5	2.9	0.0	0.0	9.7	0	1018.4	4	2.4	4	0.8	2	2.4	75	5.6
1961	2	26	8.3	0.0	2.9	0.0	9.2	0.0	0	1022.0	8	4.3	8	4.3	10	9.3	63	4.8
1961	2	27	8.3	-1.5	2.7	0.0	9.6	0.0	0	1020.4	10	6.7	10	4.3	8	4.3	54	4.0
1961	2	28	13.8	-1.5	7.0	0.0	9.5	1.0	0	1007.2	8	2.4	10	2.4	10	4.3	55	5.4
1961	3	1	8.7	5.6	6.6	0.0	0.0	10.0	0	1005.5	24	2.4	26	2.4	2	2.4	72	7.0
1961	3	2	10.1	1.2	5.6	0.0	8.2	4.7	0	1012.1	26	2.4	30	4.3	32	4.3	65	5.7
1961	3	3	10.2	-1.2	5.1	0.0	5.5	6.7	0	1014.1	0	0.0	32	2.4	32	2.4	61	5.0
1961	3	4	10.9	-0.8	4.4	0.0	7.3	3.3	0	1017.8	0	0.0	30	2.4	32	0.8	61	5.0
1961	3	5	11.8	-1.1	5.9	0.0	7.1	3.3	0	1020.3	20	0.8	28	2.4	0	0.0	67	5.9
1961	3	6	13.8	2.5	8.2	0.0	8.1	2.7	0	1016.7	22	2.4	28	6.7	28	4.3	59	5.9
1961	3	7	15.0	1.5	9.3	0.0	8.3	0.3	0	1015.1	16	0.8	26	2.4	20	2.4	61	6.6
1961	3	8	16.8	4.9	11.0	0.0	7.4	1.7	0	1016.1	20	2.4	26	4.3	26	2.4	55	6.8
1961	3	9	18.5	3.6	11.1	0.0	8.6	0.3	0	1016.4	18	2.4	26	6.7	0	0.0	53	6.6
1961	3	10	20.6	5.0	12.2	0.0	9.1	0.0	0	1012.4	12	0.8	22	2.4	10	0.8	52	7.0
1961	3	11	21.4	6.2	14.1	0.0	8.7	0.7	0	1009.7	0	0.0	28	2.4	32	2.4	48	7.0
1961	3	12	18.5	6.6	11.9	0.0	8.9	1.3	0	1009.2	22	0.8	26	2.4	8	0.8	54	7.4
1961	3	13	17.4	8.5	11.9	0.0	2.9	7.3	0	999.3	12	2.4	26	4.3	26	4.3	60	8.4
1961	3	14	11.5	6.9	9.4	0.0	0.0	10.0	0	1002.1	24	2.4	24	4.3	24	2.4	84	9.8
1961	3	15	13.2	8.9	11.3	0.5	0.0	9.3	0	1007.0	22	4.3	24	2.4	22	2.4	67	8.9
1961	3	16	17.7	5.7	12.3	0.0	8.8	1.3	0	1008.7	16	0.8	26	2.4	20	0.8	62	8.3
