10.968	16.782
10.945	16.207
10.749	16.064
9.5385	14.873
8.8345	13.672
9.6737	14.33
8.4945	13.54
9.9541	15.05
10.308	15.577
9.3269	14.519
10.118	15.271
10.077	15.838
9.3004	14.464
9.4163	14.853
9.0429	14.137
9.1608	14.787
10.129	15.392
9.5612	15.189
9.746	15.009
9.0047	14.19
9.2797	14.432
9.3162	14.605
9.5641	14.762
8.9905	14.151
9.446	14.74
9.5191	14.827
8.5149	13.697
9.8288	15.402
8.6618	13.763
9.6662	14.939
8.523	13.576
9.3298	14.624
9.6679	15.013
9.6587	15.283
9.1417	14.318
8.8873	14.48
9.351	14.875
9.3976	14.742
9.6369	15.135
9.7115	15.171
10.245	16.241
8.853	14.1
10.126	15.879
9.6998	15.595
10.978	16.757
9.6118	15.058
9.1864	14.205
9.2879	14.695
9.9199	15.574
10.205	15.641
11.149	17.336
10.235	15.783
10.797	16.268
10.026	15.845
9.8805	15.288
9.2094	14.46
9.9787	15.593
11.158	16.87
11.07	16.851
10.84	16.346
10.485	15.722
10.259	16.098
11.025	16.91
11.029	16.566
11.245	16.571
11.185	16.83
10.87	16.456
10.908	16.804
11.97	17.066
12.104	17.483
11.638	16.818
	
